z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.0,4.314895260295212,0.0,300.0,0.8676735031478192,0.35483870967741948,-4.15066143291766e-18,-4.8664911203895149e-17,0.64516129032258085,1.2657007525872678e-17,1.7987678647993027e-19,-7.4600051033304221e-17,3.9948559133926938e-17,-5.6930917160385238e-104
0.00050000000000000001,4.3148952602952129,0.0,300.00000000000006,0.8676735031478189,0.35483870967741943,1.1961562361371041e-21,-4.8244220232522114e-17,0.64516129032258074,1.4714026198988442e-18,1.1019595973743427e-17,-6.855640677423339e-17,3.9970842465858958e-17,-7.4918201457026694e-103
0.00075000000000000002,4.3148952602952129,0.0,300.00000000000006,0.8676735031478189,0.35483870967741943,5.345210229540623e-22,-4.8034800824246315e-17,0.64516129032258074,2.6271452831449906e-19,1.2030950306596236e-17,-6.7770146753629646e-17,3.9980383638220021e-17,-8.2481916552047034e-103
0.001,4.314895260295212,0.0,300.00000000000006,0.8676735031478189,0.35483870967741943,-1.7316416934581545e-22,-4.7826304147447536e-17,0.64516129032258074,2.1425854956305356e-21,1.2084819851126489e-17,-6.7942054639132522e-17,3.9989556170801518e-17,-8.187452227824708e-103
0.0015625000000000001,4.314895260295212,0.0,300.00000000000006,0.8676735031478189,0.35483870967741943,-3.3736835302086431e-22,-4.7361745299408564e-17,0.64516129032258074,-5.8619505432300122e-20,1.1681309443363322e-17,-6.8851152026827635e-17,4.0009970612862378e-17,-8.0821654547498131e-103
0.0021250000000000002,4.314895260295212,0.0,300.00000000000006,0.8676735031478189,0.35483870967741943,-3.5069721893054194e-22,-4.690169398477709e-17,0.64516129032258074,-6.4130912034103733e-20,1.1226534892069546e-17,-6.9807426441137462e-17,4.0030578019080966e-17,-8.0782659536015498e-103
0.0032499999999999999,4.3148952602952129,0.0,300.00000000000006,0.8676735031478189,0.35483870967741943,-3.45543979023998e-22,-4.5999288679199013e-17,0.64516129032258074,-6.3480840852848598e-20,1.0322920252034966e-17,-7.1697322950182285e-17,4.0072293395784755e-17,-8.0818087869149112e-103
0.0054999999999999997,4.314895260295212,0.0,300.0,0.8676735031478192,0.35483870967741948,-3.3256209926921174e-22,-4.4262457199304254e-17,0.64516129032258085,-6.1107784670549225e-20,8.58268950644597e-18,-7.5345767001510959e-17,4.0157598487574496e-17,-8.7003602722490644e-103
0.0066249999999999998,4.314895260295212,0.0,300.0,0.8676735031478192,0.35483870967741948,-3.2616408757914646e-22,-4.3410806694099843e-17,0.64516129032258085,-5.993230370657714e-20,7.729346329807314e-18,-7.7137391039522342e-17,4.0200714467767004e-17,-9.7568930473567448e-103
0.0077499999999999999,4.3148952602952111,0.0,300.0,0.8676735031478192,0.35483870967741948,-3.1988837489756021e-22,-4.2575548883038594e-17,0.64516129032258085,-5.877913702079855e-20,6.8924290715601112e-18,-7.8897100583220043e-17,4.0244286746262005e-17,-1.068667082572817e-102
