z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,5.48507765728,0.0,1143.0,0.29462398512666915,6.25957016699e-10,2.44401417964e-12,6.23345423458e-13,0.190114065201,2.28847722934e-12,2.22566620922e-09,1.52054995899e-09,1.46399109571e-10,-1.34923662321e-14,2.72630288935e-14,1.51827511679e-15,8.61790630162e-19,3.21877069307e-09,0.0950570293006,3.48152691229e-12,1.57649713835e-14,2.20171001064e-16,1.06932628557e-09,3.06748110927e-19,1.5754936062e-13,4.01467898986e-12,1.1764262426e-29,1.79613438334e-16,8.28416669629e-22,4.62530764959e-13,2.06074770078e-15,2.02239329097e-11,-6.71670688467e-27,-7.8486059278e-16,8.16912269911e-15,-2.72539905631e-14,1.8994812913e-24,2.13150096683e-15,-9.33283727927e-16,2.59764156673e-19,-3.350412977e-16,6.83494779151e-15,2.21626778721e-15,-2.20374413252e-23,-3.71727912008e-16,-6.30081200336e-17,-5.2356101627e-23,2.27960620317e-23,-1.64859499646e-17,-2.25588706309e-19,-9.35454003649e-17,-2.77920952566e-18,0.714828896658,-1.32106305817e-128,7.53627699651e-22,1.26433203641e-15,5.72396928324e-21,-1.42169811589e-16
0.003,5.4850758191,0.0,1142.99958269,0.2946240838618702,1.46888376613e-08,3.57095249058e-11,3.8546182953e-11,0.190113805295,1.24331434511e-10,1.40493901351e-07,1.24142502653e-07,1.20324798386e-08,-2.76868591937e-19,2.60092876295e-19,4.635387914e-16,6.24756618565e-17,2.38605978276e-07,0.095056685023,2.8523496598e-10,1.59049187355e-12,2.07481434368e-14,1.01601161078e-07,2.96906534348e-17,1.52494613603e-11,3.90060443373e-10,1.12812914418e-27,2.53009188134e-16,8.10163247447e-20,4.43302489996e-11,2.19423513131e-13,2.17228529583e-09,-4.42341567831e-25,-5.7567740222e-16,8.16908691015e-15,-4.2673592068e-17,9.6255340315e-23,2.13149824575e-15,-9.33224227997e-16,2.18590043813e-17,-2.77539635689e-14,6.78168479091e-15,2.26831819593e-13,-1.80096387744e-21,-4.57134482904e-20,-6.69752350232e-17,-5.01512832315e-21,1.50128287751e-21,-1.64859241546e-17,-2.25587919551e-19,-9.35533036222e-17,-2.8192439331e-16,0.71482887501,-9.24523598076e-128,1.034705249e-19,3.07786985334e-15,6.41984859038e-19,-1.36387515581e-16
0.0045,5.48507594222,0.0,1142.99954933,0.2946240772488164,5.64193855705e-08,6.19645183627e-11,6.28894869442e-11,0.190113635202,2.04118111246e-10,2.54092080416e-07,1.78407244311e-07,1.94536800993e-08,-1.14955388357e-23,1.98691791564e-22,1.19821246687e-15,1.622004545e-16,3.80046024956e-07,0.0950564493717,5.53118962275e-10,3.62606455754e-12,3.90188104422e-14,1.83940302636e-07,7.76963266525e-17,2.76680370915e-11,7.40790120657e-10,2.55613342622e-27,3.49155610625e-16,2.9231503444e-19,9.99460466282e-11,5.56304455053e-13,4.90278691669e-09,5.29847899113e-26,-1.95826036218e-16,8.1690560099e-15,-1.34766278111e-19,1.72772859037e-22,2.13284119007e-15,-9.32787514154e-16,3.77681969651e-17,-2.77976658317e-14,6.74344673391e-15,3.88312056529e-13,-2.49095716082e-21,-1.13321225408e-23,-6.69385545407e-17,-4.53882479828e-23,1.37562473418e-24,-1.64856320139e-17,-2.25577637263e-19,-9.35614811208e-17,-2.41854447096e-16,0.71482883641,-1.17570486916e-127,3.71533448698e-19,6.73511596254e-15,2.31798303656e-18,-1.24473932106e-16
0.006,5.48507902871,0.0,1142.99973586,0.2946239114619869,4.70011809641e-07,9.57961576716e-11,9.22702473114e-11,0.190113356033,2.98954833077e-10,4.19303793014e-07,2.25594773518e-07,2.73927828171e-08,-4.8229289809e-28,2.79462078523e-22,2.50096622916e-15,3.3942398469e-16,5.4551465996e-07,0.0950561079091,1.01412978562e-09,7.82722431821e-12,6.7296433577e-14,3.04278804713e-07,1.63776060731e-16,4.393512567e-11,1.29476533637e-09,7.90382229193e-27,7.36917012086e-16,8.98905191769e-19,2.13369163905e-10,1.14818240281e-12,1.04675375921e-08,3.80679261844e-24,9.74590518695e-16,8.16902720871e-15,-2.30726733165e-22,2.82367750542e-22,2.17039103069e-15,-9.19898428003e-16,5.81700164099e-17,-2.77463858091e-14,6.69556240343e-15,5.92649023383e-13,-2.90879423896e-21,-4.04163995711e-27,-6.39104777935e-17,-8.72305734569e-24,1.61415297719e-24,-1.64714190074e-17,-2.25072360789e-19,-9.35156071019e-17,-2.07383187438e-16,0.714828530431,-7.26047665275e-128,1.13851687172e-18,1.73871653885e-14,7.14303803516e-18,-7.58995201113e-17
0.00675,5.48508943224,0.0,1142.99989266,0.2946233526508325,2.3629858929e-06,1.15620140626e-10,1.08512199731e-10,0.19011288882,3.50592508706e-10,5.16589449784e-07,2.47331182723e-07,3.13950536902e-08,6.84840095437e-31,3.2619888902e-22,3.39987533751e-15,4.61928955184e-16,6.34277882495e-07,0.0950557490369,1.31097938339e-09,1.0726810492e-11,8.47258907653e-14,3.74939035762e-07,2.22405326497e-16,5.33431637893e-11,1.63113648409e-09,5.07236662177e-26,4.03170417676e-15,1.42287369847e-18,2.90026514595e-10,1.55283693747e-12,1.42252997958e-08,1.56637658021e-23,2.47252436031e-15,8.16944959105e-15,2.39961651958e-22,4.14266107158e-22,2.55011694629e-15,-7.58313681839e-16,7.00989456138e-17,-2.7142131567e-14,6.67339351379e-15,7.0485377937e-13,-2.62114982853e-21,-9.92350730349e-28,-8.78339477182e-18,-9.64837244098e-24,1.88425146767e-24,-1.61959464293e-17,-2.15275061816e-19,-9.17192098866e-17,-1.91370658641e-16,0.714827176526,2.55847550496e-128,1.79920400503e-18,2.5775839227e-14,1.1314472689e-17,2.5550782617e-16
0.007125,5.48511486552,0.0,1142.9999908,0.29462198654665944,7.27980204366e-06,1.27202336972e-10,1.17311377357e-10,0.190111905837,3.77740517252e-10,5.71913915978e-07,2.57723952145e-07,3.33930465866e-08,8.6028499569e-31,3.50738413921e-22,3.92300138644e-15,5.33308845218e-16,6.80338691283e-07,0.0950551649273,1.52456265326e-09,1.28596827048e-11,9.43787611764e-14,4.13104992791e-07,2.56132626206e-16,5.83747321666e-11,1.81599488175e-09,4.59628410518e-25,3.39009215362e-14,1.76302124733e-18,3.34732609862e-10,1.78695417515e-12,1.63970541727e-08,1.04729856389e-22,9.50563418877e-15,8.17445405917e-15,2.65768494491e-22,9.00035012722e-22,4.55033113478e-15,3.17522871904e-16,7.70581426913e-17,-2.22806705525e-14,6.69320542925e-15,7.63430874229e-13,1.18301031988e-21,2.53773582194e-27,5.04288310845e-16,-8.45624960019e-24,2.02611548628e-24,-1.34525389788e-17,-1.17700508164e-19,-7.28513690249e-17,-1.83402653606e-16,0.714823672191,7.27308957862e-128,2.22726594917e-18,3.1346137646e-14,1.40274913114e-17,3.60936260479e-15
0.0075,5.48521048525,0.0,1143.0001303,0.2946168506133732,2.59926837455e-05,1.43263796725e-10,1.27712026538e-10,0.190108323426,4.07216536993e-10,6.54662698664e-07,2.677065476e-07,3.53819744415e-08,1.0417510958e-30,3.77095848248e-22,4.52269274708e-15,6.15294814028e-16,7.29066221265e-07,0.095053181592,2.27390903535e-09,2.12611797323e-11,1.04994254002e-13,4.54308431986e-07,2.93898864282e-16,6.3744682601e-11,2.02075996361e-09,6.14977541154e-24,4.20604071815e-13,2.21344964622e-18,3.91602767952e-10,2.05295704915e-12,1.89282015361e-08,1.37090865202e-21,1.06159805066e-13,8.24928693371e-15,2.93100828814e-22,8.45384364158e-21,1.92478316045e-14,1.0260216693e-14,8.66884061037e-17,3.22747045352e-14,7.06834870299e-15,8.24396544039e-13,8.96718178615e-20,5.18501476572e-26,7.04126175065e-15,1.36319680968e-23,2.17852674286e-24,2.38940167695e-17,1.21060965712e-18,1.85893704064e-16,-1.7302415721e-16,0.714810336791,1.02020219535e-127,2.79255221562e-18,4.47768216195e-14,1.76405883654e-17,5.35475287269e-14
0.007875,5.48557408447,0.0,1143.00053718,0.29459732258320226,9.72433808607e-05,1.77843415844e-10,1.44893275831e-10,0.190094827444,4.46600876638e-10,9.46369592724e-07,2.77637075818e-07,3.73799396332e-08,1.41079137075e-30,4.1135636223e-22,5.35344750562e-15,7.29399108015e-16,7.90084619934e-07,0.0950458344308,8.80988698495e-09,1.11079553843e-10,1.17281196791e-13,5.00162856485e-07,3.39694899744e-16,7.03472867162e-11,2.27516677011e-09,8.73293345471e-23,5.43989768657e-12,3.25420371166e-18,5.29274930484e-10,2.41190325025e-12,2.23686516085e-08,2.0678806016e-20,1.52991194362e-12,9.36078812827e-15,3.42015563757e-22,3.73105977969e-19,1.27377066372e-13,1.02014832362e-13,1.07367427197e-16,6.45127410233e-13,1.15755706899e-14,8.88254230049e-13,3.78494656228e-18,7.45439529075e-25,9.03256798946e-14,2.91824157213e-22,2.37674799406e-24,5.32298601616e-16,1.92930580447e-17,3.71456717044e-15,-1.29001190275e-16,0.714759508165,1.06464664111e-127,4.09493529996e-18,1.80380299327e-13,2.60851408479e-17,8.00290413046e-13
0.0080625,5.4861420589,0.0,1143.00173772,0.2945668232370214,0.000207894368675,2.33203658955e-10,1.69271772736e-10,0.190073848193,4.92814634487e-10,1.76325937244e-06,2.83835512191e-07,3.84586235197e-08,2.0356202303e-30,4.52564031726e-22,6.39976574589e-15,8.73400589841e-16,8.59814376772e-07,0.0950343342172,3.61874262075e-08,5.66063059843e-10,1.26210522043e-13,5.29473602758e-07,3.78512448046e-16,7.73910568198e-11,2.54061851983e-09,5.41597553282e-22,3.05035302246e-11,6.43496075232e-18,9.55841695607e-10,2.8575134802e-12,2.68257480266e-08,1.40199309733e-19,9.62017885103e-12,1.56830244969e-14,4.32755630018e-22,1.03463514012e-17,4.40924142334e-13,4.29006720799e-13,1.40426255098e-16,3.30366278568e-12,3.18191610905e-14,9.23464268943e-13,7.38317201407e-17,4.57866769445e-24,4.98636701319e-13,1.64048424091e-21,2.61529939668e-24,3.19118377759e-15,1.13861278141e-16,2.21756370592e-14,6.83748166857e-17,0.714680380276,1.01153063543e-127,8.0899529086e-18,1.0670510076e-12,5.25073461595e-17,5.08242417996e-12
0.00825,5.487528385,0.0,1143.00843262,0.2944924061868698,0.000473883182519,4.68358365644e-10,2.72209846632e-10,0.190023034739,6.7339903582e-10,5.62029379529e-06,2.97477906863e-07,3.99526891483e-08,5.70452717901e-30,6.30152484841e-22,1.13496718551e-14,1.55494301004e-15,1.12894301248e-06,0.0950058125094,2.01921973582e-07,3.85274968865e-09,1.49179271596e-13,5.88794250792e-07,5.09545473068e-16,1.04022461233e-10,3.65038565022e-09,5.03075309339e-21,2.05725467724e-10,3.3825882608e-17,3.75568310585e-09,5.01635478504e-12,4.95341468647e-08,1.58536288097e-18,7.36421861285e-11,6.57233284349e-14,1.02215059543e-21,2.28592122276e-16,1.76026920001e-12,2.09111603368e-12,2.8078133161e-16,1.95621829424e-11,1.63450539667e-13,9.76337163693e-13,1.20873103762e-15,4.23913156337e-23,3.30365350032e-12,1.31892730083e-20,3.64563926771e-24,2.26172402045e-14,8.04783345741e-16,1.57048768024e-13,1.51837226989e-15,0.714489329513,9.07619865689e-128,4.25269804948e-17,9.4960898312e-12,3.01162571501e-16,3.92472033779e-11
